image,video_frame,sharpness,mask_pixels
001,0,2.99,37233
002,122,6.47,39602
003,244,7.28,33668
004,366,7.23,31270
005,488,8.47,36699
006,610,7.70,40167
007,732,5.69,39983
008,854,6.24,42556
009,977,6.14,48972
010,1099,6.23,39955
011,1221,6.29,39615
012,1343,5.42,2241
013,1465,5.79,2113
014,1587,5.99,1883
015,1709,5.82,1828
016,1831,6.21,5381
017,1954,7.14,1920
018,2076,5.24,3517
019,2198,5.91,4895
020,2320,6.55,5909
021,2442,5.78,6005
022,2564,6.86,7247
023,2686,5.51,7744
024,2808,5.58,9818
025,2931,6.33,9408
026,3053,6.46,8825
027,3175,6.51,11761
028,3297,6.58,11063
029,3419,5.40,9118
030,3541,6.07,8390
031,3663,6.40,8849
032,3785,6.31,8729
033,3908,6.10,7841
034,4030,5.50,10878
035,4152,5.59,7207
036,4274,6.52,6976
037,4396,6.77,4601
038,4518,6.27,4624
039,4640,5.95,4851
040,4762,5.98,4894
041,4885,5.87,7082
042,5007,5.81,7407
043,5129,6.00,5129
044,5251,6.68,6198
045,5373,5.98,6293
046,5495,6.13,7504
047,5617,7.05,7822
048,5740,6.23,7262
